lr-AdamW,created_at,val_loss,epoch,trn_loss
0.001,2022-04-22 09:08:24.363535,,,
,2022-04-22 09:11:11.675147,4.820118427276611,0.0,
,2022-04-22 09:11:11.733159,,0.0,3.7189953327178955
0.001,2022-04-22 09:11:11.755165,,,
,2022-04-22 09:13:59.671436,4.062784671783447,1.0,
,2022-04-22 09:13:59.717446,,1.0,3.230344295501709
0.001,2022-04-22 09:13:59.739451,,,
,2022-04-22 09:16:48.327402,3.1269237995147705,2.0,
,2022-04-22 09:16:48.380414,,2.0,2.918734073638916
0.001,2022-04-22 09:16:48.400419,,,
,2022-04-22 09:19:36.525238,2.5666162967681885,3.0,
,2022-04-22 09:19:36.579250,,3.0,2.7067198753356934
0.001,2022-04-22 09:19:36.598255,,,
,2022-04-22 09:22:26.956098,2.2972042560577393,4.0,
,2022-04-22 09:22:27.014111,,4.0,2.5227534770965576
0.001,2022-04-22 09:22:27.035115,,,
,2022-04-22 09:25:17.048619,2.189300060272217,5.0,
,2022-04-22 09:25:17.100630,,5.0,2.377471923828125
0.001,2022-04-22 09:25:17.119635,,,
,2022-04-22 09:28:04.536795,2.149634838104248,6.0,
,2022-04-22 09:28:04.589807,,6.0,2.2476322650909424
0.001,2022-04-22 09:28:04.609812,,,
,2022-04-22 09:30:54.366199,2.1161177158355713,7.0,
,2022-04-22 09:30:54.419211,,7.0,2.1354265213012695
0.001,2022-04-22 09:30:54.448217,,,
,2022-04-22 09:33:44.717986,2.0725603103637695,8.0,
,2022-04-22 09:33:44.770998,,8.0,2.0281524658203125
0.001,2022-04-22 09:33:44.800005,,,
,2022-04-22 09:36:34.116271,1.9988547563552856,9.0,
,2022-04-22 09:36:34.176284,,9.0,1.9374876022338867
0.001,2022-04-22 09:36:34.196289,,,
,2022-04-22 09:39:21.052089,1.9221396446228027,10.0,
,2022-04-22 09:39:21.111102,,10.0,1.8514117002487183
0.001,2022-04-22 09:39:21.134108,,,
,2022-04-22 09:42:09.738339,1.8708478212356567,11.0,
,2022-04-22 09:42:09.791350,,11.0,1.7747571468353271
0.001,2022-04-22 09:42:09.821357,,,
,2022-04-22 09:45:00.725923,1.8437066078186035,12.0,
,2022-04-22 09:45:00.778935,,12.0,1.7092303037643433
0.001,2022-04-22 09:45:00.799940,,,
,2022-04-22 09:47:50.536442,1.8338998556137085,13.0,
,2022-04-22 09:47:50.596456,,13.0,1.6508418321609497
0.001,2022-04-22 09:47:50.618461,,,
,2022-04-22 09:50:39.552464,1.8249011039733887,14.0,
,2022-04-22 09:50:39.606476,,14.0,1.5878942012786865
0.001,2022-04-22 09:50:39.635482,,,
,2022-04-22 09:53:28.568572,1.8018206357955933,15.0,
,2022-04-22 09:53:28.623584,,15.0,1.533821702003479
0.001,2022-04-22 09:53:28.654591,,,
,2022-04-22 09:56:16.749649,1.756767749786377,16.0,
,2022-04-22 09:56:16.800661,,16.0,1.4890447854995728
0.001,2022-04-22 09:56:16.821664,,,
,2022-04-22 09:59:04.320407,1.7168842554092407,17.0,
,2022-04-22 09:59:04.380421,,17.0,1.4396309852600098
0.001,2022-04-22 09:59:04.401425,,,
,2022-04-22 10:01:53.474222,1.692315936088562,18.0,
,2022-04-22 10:01:53.534235,,18.0,1.4012266397476196
0.001,2022-04-22 10:01:53.554240,,,
,2022-04-22 10:04:43.539839,1.6816954612731934,19.0,
,2022-04-22 10:04:43.584850,,19.0,1.366150975227356
0.001,2022-04-22 10:04:43.606854,,,
,2022-04-22 10:07:31.331860,1.6761671304702759,20.0,
,2022-04-22 10:07:31.394874,,20.0,1.3352935314178467
0.001,2022-04-22 10:07:31.423881,,,
,2022-04-22 10:10:21.041678,1.675264596939087,21.0,
,2022-04-22 10:10:21.095690,,21.0,1.2938899993896484
0.001,2022-04-22 10:10:21.117695,,,
,2022-04-22 10:13:13.164883,1.6746934652328491,22.0,
,2022-04-22 10:13:13.225897,,22.0,1.4520845413208008
0.001,2022-04-22 10:13:13.252903,,,
,2022-04-22 10:16:08.561312,1.6736332178115845,23.0,
,2022-04-22 10:16:08.615324,,23.0,1.2349936962127686
0.001,2022-04-22 10:16:08.637329,,,
,2022-04-22 10:18:58.873598,1.6701488494873047,24.0,
,2022-04-22 10:18:58.926610,,24.0,1.207991600036621
0.001,2022-04-22 10:18:58.947615,,,
,2022-04-22 10:21:49.491952,1.6702601909637451,25.0,
,2022-04-22 10:21:49.528961,,25.0,1.1838830709457397
0.001,2022-04-22 10:21:49.551966,,,
,2022-04-22 10:24:40.059296,1.6704230308532715,26.0,
,2022-04-22 10:24:40.093303,,26.0,1.1649494171142578
0.001,2022-04-22 10:24:40.114308,,,
,2022-04-22 10:27:28.414141,1.6708167791366577,27.0,
,2022-04-22 10:27:28.448149,,27.0,1.1379464864730835
0.001,2022-04-22 10:27:28.469153,,,
,2022-04-22 10:30:16.158850,1.6737663745880127,28.0,
,2022-04-22 10:30:16.192857,,28.0,1.114945650100708
0.001,2022-04-22 10:30:16.213862,,,
,2022-04-22 10:33:02.530251,1.6763896942138672,29.0,
,2022-04-22 10:33:02.565257,,29.0,1.0948197841644287
0.001,2022-04-22 10:33:02.586262,,,
,2022-04-22 10:35:49.816856,1.6792283058166504,30.0,
,2022-04-22 10:35:49.851863,,30.0,1.0710620880126953
0.0001,2022-04-22 10:35:49.872868,,,
,2022-04-22 10:38:38.692819,1.683228611946106,31.0,
,2022-04-22 10:38:38.721825,,31.0,1.0590485334396362
0.0001,2022-04-22 10:38:38.744830,,,
,2022-04-22 10:41:26.364512,1.6864948272705078,32.0,
,2022-04-22 10:41:26.399518,,32.0,1.058943510055542
0.0001,2022-04-22 10:41:26.420523,,,
,2022-04-22 10:44:14.590327,1.6873691082000732,33.0,
,2022-04-22 10:44:14.627336,,33.0,1.0600465536117554
0.0001,2022-04-22 10:44:14.650341,,,
,2022-04-22 10:47:05.238314,1.6910771131515503,34.0,
,2022-04-22 10:47:05.272322,,34.0,1.0568796396255493
0.0001,2022-04-22 10:47:05.294326,,,
,2022-04-22 10:49:53.533317,1.694279432296753,35.0,
,2022-04-22 10:49:53.567325,,35.0,1.0553083419799805
0.0001,2022-04-22 10:49:53.589329,,,
,2022-04-22 10:52:45.433187,1.6942213773727417,36.0,
,2022-04-22 10:52:45.468195,,36.0,1.0508537292480469
1e-05,2022-04-22 10:52:45.490201,,,
,2022-04-22 10:55:37.875020,1.6941883563995361,37.0,
,2022-04-22 10:55:37.911028,,37.0,1.048902988433838
1e-05,2022-04-22 10:55:37.934033,,,
,2022-04-22 10:58:29.257592,1.6918591260910034,38.0,
,2022-04-22 10:58:29.291600,,38.0,1.04544198513031
1e-05,2022-04-22 10:58:29.315605,,,
,2022-04-22 11:01:18.037007,1.692883014678955,39.0,
,2022-04-22 11:01:18.071015,,39.0,1.0451583862304688
1e-05,2022-04-22 11:01:18.092020,,,
,2022-04-22 11:04:08.011329,1.6932076215744019,40.0,
,2022-04-22 11:04:08.048338,,40.0,1.043099284172058
1e-05,2022-04-22 11:04:08.072344,,,
,2022-04-22 11:06:58.774433,1.69173002243042,41.0,
,2022-04-22 11:06:58.809442,,41.0,1.050535798072815
1e-05,2022-04-22 11:06:58.829445,,,
,2022-04-22 11:09:49.522502,1.689752459526062,42.0,
,2022-04-22 11:09:49.549508,,42.0,1.0463216304779053
1.0000000000000002e-06,2022-04-22 11:09:49.571513,,,
,2022-04-22 11:12:38.158822,1.6920667886734009,43.0,
,2022-04-22 11:12:38.191829,,43.0,1.056941032409668
1.0000000000000002e-06,2022-04-22 11:12:38.213834,,,
,2022-04-22 11:15:27.414471,1.6939352750778198,44.0,
,2022-04-22 11:15:27.451480,,44.0,1.0419082641601562
